provincia,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_hosp,num_uci,num_def,tmed,prec,tmin,tmax,wd,ws,ws_max,sol,mob_grocery_pharmacy,mob_parks,mob_residential,mob_retail_recreation,mob_transit_stations,mob_workplaces,mob_flujo
Madrid,2020-01-11,1,1,0,0,0,0,0,0,0,5.5,0,-2.3,13.3,20,1.9,5.8,8.6,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-11,0,0,0,0,0,0,1,0,0,11.6,0,5.3,17.8,29,3.6,8.3,8.1,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-11,0,0,0,0,0,0,0,0,0,7.2,0,2.9,11.6,99,2.8,8.9,7.7,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-11,0,0,0,0,0,0,0,0,0,10.8,0,5.4,16.2,7,3.1,8.9,9.4,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-12,0,0,0,0,0,0,0,0,0,8.6,0,2.4,14.7,99,3.3,9.2,5.8,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-12,1,1,0,0,0,0,0,0,0,3,0,-5,11.1,25,1.1,4.2,8.6,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-12,0,0,0,0,0,0,0,0,0,11.2,0,5.6,16.9,16,4.4,7.8,8.4,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-12,0,0,0,0,0,0,0,0,0,9.6,0,3.7,15.6,99,2.8,8.9,8,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-12,0,0,0,0,0,0,0,0,0,10.4,0,3.7,17,7,2.2,5.8,9.5,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-13,0,0,0,0,0,0,0,0,0,7.9,0,2.9,12.9,25,4.2,9.2,5,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-13,2,2,0,0,0,0,2,0,0,2.4,0,-4.3,9.2,22,1.7,10.8,5.3,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-13,0,0,0,0,0,0,0,0,0,10.8,0,5,16.6,29,3.1,7.8,8.3,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-13,0,0,0,0,0,0,0,0,0,12.4,0.8,6.6,18.2,25,3.3,13.3,3.9,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-13,0,0,0,0,0,0,0,0,0,9.4,0,3.1,15.8,4,1.7,6.1,9,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-14,0,0,0,0,0,0,0,1,0,8.6,0,2.7,14.4,99,4.2,9.7,5.9,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-14,0,0,0,0,0,0,6,0,0,2.4,0,-4.6,9.5,22,1.9,7.2,8.1,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-14,0,0,0,0,0,0,0,0,0,11.3,0,5,17.6,28,3.1,9.7,6.8,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-14,0,0,0,0,0,0,0,0,0,13.9,0.6,10.3,17.5,99,1.9,15.3,3,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-14,0,0,0,0,0,0,0,0,0,10.2,0,5.1,15.3,99,1.4,4.7,8.4,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-15,0,0,0,0,0,0,1,0,0,8.8,0,3.2,14.3,99,5,9.2,5.1,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-15,1,1,0,0,0,0,5,1,0,4.6,0,0.2,8.9,22,1.9,5,0,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-15,0,0,0,0,0,0,1,0,0,13.2,0,5.8,20.6,29,3.6,8.3,8.1,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-15,0,0,0,0,0,0,0,0,0,10.8,2.4,5.8,15.8,31,5.8,16.9,1.3,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-15,0,0,0,0,0,0,0,0,0,12,0,5.2,18.8,99,1.7,7.8,8,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-16,0,0,0,0,0,0,0,0,0,9.8,0,4.8,14.8,1,4.2,8.3,5.8,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-16,1,1,0,0,0,0,3,0,0,9.8,0,5.4,14.1,19,1.7,5.8,2.2,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-16,0,0,0,0,0,0,0,0,0,12.2,0,6.7,17.8,29,3.9,7.2,8.2,NA,NA,NA,NA,NA,NA,NA
